Funkcja,Architektura,Pojemność,LR,T,MSE,Odchylenie Std,Liczba parametrów,Stabilność (CV %)
Hard,MLP,C128,0.0005,100,0.43749093015988666,0.01253442840066738,70336,2.8650716018470397
Hard,MLP,C256,0.0001,80,0.43797747294108075,0.019968011640252675,169152,4.55914125129876
Hard,MLP,C256,0.0005,80,0.4410833915074666,0.017736860816696308,169152,4.021203508950543
Hard,MLP,C128,0.001,80,0.45478389660517377,0.01766850309384345,70336,3.8850326992080326
Hard,MLP,C128,0.0005,80,0.4552278518676758,0.01743213874434098,70336,3.8293216622888226
Chirp,MLP,C128,0.0001,100,0.5474983851114908,0.01085835602136564,70336,1.9832672235470572
Sine,MLP,C128,0.0001,100,0.5629787842432658,0.006685306671110487,70336,1.1874882070550166
Chirp,MLP,C128,0.0001,80,0.5646320382754008,0.01715543702556418,70336,3.0383392833965557
Hard,MLP,C128,0.0001,100,0.566434641679128,0.01001400424048765,70336,1.7679010963740367
Sine,MLP,C128,0.0001,80,0.5812884171803793,0.012834015647425163,70336,2.2078567657821826
Hard,MLP,C128,0.0001,80,0.5886718432108561,0.01893376189953755,70336,3.216352560072365
Sine,MLP,C64,0.001,100,0.6074312527974447,0.00968030352944963,33216,1.5936459450955585
Sine,MLP,C64,0.001,80,0.6075085202852885,0.011056510587769394,33216,1.8199762173832907
Chirp,MLP,C64,0.001,100,0.607828160127004,0.010507862786535399,33216,1.7287555062173838
Chirp,MLP,C64,0.001,80,0.609364648660024,0.008982530535806211,33216,1.4740813330012739
Chirp,MLP,C64,0.0005,100,0.6132846077283224,0.011548615974572457,33216,1.883076116543977
Sine,MLP,C64,0.0005,100,0.6143861810366312,0.010048177745576327,33216,1.6354823815572164
Chirp,MLP,C64,0.0005,80,0.6164560317993164,0.010746751197840245,33216,1.7433118735934092
Sine,MLP,C64,0.0005,80,0.6179462869962057,0.012264985459370365,33216,1.984797986082191
Hard,MLP,C64,0.001,100,0.6478760441144308,0.007182561255289537,33216,1.10863201696356
Hard,MLP,C64,0.001,80,0.6529253919919332,0.01126251064882216,33216,1.7249307174993904
Hard,MLP,C64,0.0005,100,0.6610037883122762,0.008758870055766572,33216,1.3250862114013546
Hard,MLP,C64,0.0005,80,0.6665664712587992,0.013178489657555444,33216,1.9770705887243465
Chirp,MLP,C64,0.0001,100,0.743634303410848,0.008127715439266757,33216,1.092972096901278
Sine,MLP,C64,0.0001,100,0.7534128824869791,0.008896080534144719,33216,1.1807709611732669
Chirp,MLP,C64,0.0001,80,0.7538734078407288,0.009814592353267098,33216,1.3018886528148546
Hard,MLP,C64,0.0001,100,0.7566582957903544,0.009421891799692399,33216,1.2451977136986152
Sine,MLP,C64,0.0001,80,0.764498213926951,0.011895091631123837,33216,1.5559345220733807
Hard,MLP,C64,0.0001,80,0.769651194413503,0.012159820660249645,33216,1.5799131799588497
Sine,MLP,C32,0.001,80,0.8033565481503805,0.006627786818456243,17728,0.825011862256656
Sine,MLP,C32,0.001,100,0.8035272161165873,0.005506154743207073,17728,0.6852480703538685
Sine,MLP,C32,0.0005,100,0.8040694991747538,0.0055233790479763765,17728,0.6869280645075114
Sine,MLP,C32,0.0005,80,0.8049093087514242,0.006353074560484864,17728,0.7892907301991272
Chirp,MLP,C32,0.001,100,0.808485766251882,0.0036164129049538556,17728,0.4473069354973864
Chirp,MLP,C32,0.001,80,0.8090649843215942,0.00475324518244099,17728,0.5874985661907756
Chirp,MLP,C32,0.0005,100,0.8100422422091166,0.0034879939082809353,17728,0.43059407602850563
Chirp,MLP,C32,0.0005,80,0.8109776775042216,0.004710856182514572,17728,0.5808860481847294
Hard,MLP,C32,0.001,100,0.8163268367449442,0.006220904871446594,17728,0.7620605609699285
Hard,MLP,C32,0.001,80,0.8183042605717977,0.008238238886453511,17728,1.0067452026581123
Hard,MLP,C32,0.0005,100,0.8255031108856201,0.004546851731716118,17728,0.5507976495495145
Hard,MLP,C32,0.0005,80,0.828320304552714,0.007735849055434492,17728,0.9339200081074658
Chirp,MLP,C32,0.0001,100,0.8626460035641988,0.00425031418929167,17728,0.4927066458003196
Sine,MLP,C32,0.0001,100,0.8655427893002828,0.005016521066383883,17728,0.5795809437034661
Chirp,MLP,C32,0.0001,80,0.8679706652959188,0.007031191618075564,17728,0.8100724942908535
Hard,MLP,C32,0.0001,100,0.8700256943702698,0.004509808355334386,17728,0.5183534675488652
Sine,MLP,C32,0.0001,80,0.8718759218851725,0.006736374171338278,17728,0.772629912381669
Hard,MLP,C32,0.0001,80,0.8773605227470398,0.008211683133278254,17728,0.9359531139567631
