Architektura,T,Schedule,Ratio,Mean_MSE,Median_MSE,Mean_L2,Mean_Wasserstein,Mean_Pearson,Mean_Time
UNet_C64_1e-4,120,cosine,0.5166666666666666,0.000553101163241081,0.000553101163241081,2.6010878,0.013304866428055296,1.0,0.01206872304280599
Conv1D_C128_5e-4,120,cosine,0.6333333333333333,0.0005548540357267484,0.0005548540357267484,2.609254,0.013917611089855198,1.0,0.016267882982889812
UNet_C128_5e-4,120,linear,0.20000000000000004,0.0005634769278145136,0.0005605696774243067,3.9944632,0.011695042454051839,1.0,0.0025204536649915906
UNet_C256_5e-4,120,cosine,0.39999999999999997,0.0005760223556232328,0.0005760223556232328,2.6539297,0.013645899389266561,1.0,0.022694430351257327
UNet_C64_1e-4,120,linear,0.20000000000000004,0.0005539977353293493,0.0005793923619785346,3.6924822,0.011699794032701202,1.0,0.003866598492576962
Conv1D_C128_1e-3,120,linear,0.20000000000000004,0.0005391665532286944,0.0005803975950887738,3.6656327,0.01159872225049001,1.0,0.0038634143556867326
Conv1D_C32_5e-4,100,linear,0.20000000000000004,0.0007484544421620538,0.0006020644182960193,4.533424,0.012530754202484095,1.0,0.004011296166314019
UNet_C256_5e-4,100,cosine,0.6333333333333333,0.0006357609437933812,0.0006357609437933812,14.673583,0.009865035075248064,1.0,0.026601212819417314
UNet_C128_5e-4,120,cosine,0.6333333333333333,0.0006571822297216082,0.0006571822297216082,2.8246307,0.014887163033921146,1.0,0.013762048085530597
UNet_C128_5e-4,100,cosine,0.5166666666666666,0.000660898571756358,0.000660898571756358,8.880228,0.012305906672784962,1.0,0.008290025393168133
UNet_C256_5e-4,100,cosine,0.5666666666666667,0.0006679218555412566,0.0006679218555412566,2.8749912,0.014728209849102615,1.0,0.023589062690734863
Conv1D_C32_5e-4,100,cosine,0.6999999999999998,0.0006761726956271257,0.0006761726956271257,2.8857858,0.014911811866919986,1.0,0.013929478327433268
Conv1D_C128_5e-4,100,cosine,0.5166666666666666,0.0006838229779774944,0.0006838229779774944,2.9097328,0.014860638408960463,1.0,0.0075325298309326175
Conv1D_C128_1e-3,100,cosine,0.6999999999999998,0.0006928831548430026,0.0006928831548430026,2.923438,0.01499761884161368,1.0,0.014866231282552085
Conv1D_C32_5e-4,120,linear,0.20000000000000004,0.0007681836332388533,0.0007026460196357221,5.1252813,0.01196428250958109,1.0,0.003974224272228423
Conv1D_C128_1e-3,100,cosine,0.25,0.0007185163242199147,0.0007185163242199147,15.598991,0.010646043365947358,1.0,0.004019360542297364
UNet_C64_1e-4,100,cosine,0.6333333333333333,0.0007362092346496259,0.0007362092346496259,3.0116994,0.015203110621393233,1.0,0.009619099299112954
UNet_C64_1e-4,100,cosine,0.3666666666666667,0.0007431288758137575,0.0007431288758137575,15.830199,0.010690489134237093,1.0,0.007908666928609214
Conv1D_C128_5e-4,100,cosine,0.25,0.000746703741994376,0.000746703741994376,15.9011545,0.01100696392886069,1.0,0.0030840969085693362
Conv1D_C128_1e-3,80,cosine,0.6999999999999998,0.0008325134466091792,0.0008325134466091792,3.2118053,0.015947591211176282,1.0,0.006039072672526041
UNet_C256_5e-4,80,cosine,0.6999999999999998,0.0008770952495979144,0.0008770952495979144,3.282792,0.016747955254322735,1.0,0.016032627423604333
Conv1D_C128_5e-4,80,cosine,0.6999999999999998,0.0008976582550288488,0.0008976582550288488,3.3321266,0.017201698679467275,1.0,0.006559589703877769
UNet_C256_5e-4,80,cosine,0.5166666666666666,0.0009023029023470979,0.0009023029023470979,17.491632,0.011470037567293428,1.0,0.016005802154541015
UNet_C128_5e-4,80,cosine,0.6999999999999998,0.0009546409151516855,0.0009546409151516855,10.442783,0.014785262994482764,1.0,0.007354745070139568
Conv1D_C32_5e-4,80,cosine,0.6999999999999998,0.0009614377344648043,0.0009614377344648043,3.4419854,0.017393705115288566,1.0,0.011615587870279947
Conv1D_C128_1e-3,80,cosine,0.25,0.0009759204958875974,0.0009759204958875974,10.599176,0.018518684423785695,1.0,0.0033693607648213704
UNet_C64_1e-4,80,cosine,0.25,0.001045137585606426,0.001045137585606426,18.790281,0.012491755624990523,1.0,0.0034246079126993814
UNet_C64_1e-4,80,cosine,0.6999999999999998,0.0010719051328487693,0.0010719051328487693,3.627391,0.018167195007602763,1.0,0.011075599988301594
Conv1D_C128_5e-4,80,cosine,0.25,0.0011001842309876035,0.0011001842309876035,3.3008413,0.026376895786573488,1.0,0.00385121504465739
Conv1D_C128_5e-4,120,cosine,0.20000000000000004,0.0013527976645639648,0.0014108447057272619,6.797251,0.016684190307131832,1.0,0.0038238583670722115
Conv1D_C128_1e-3,120,cosine,0.20000000000000004,0.0012720210862958252,0.0014491217851173132,6.610158,0.016712906820709403,1.0,0.0039614242977566196
UNet_C128_5e-4,120,cosine,0.20000000000000004,0.00128705605668074,0.001452068689201648,5.5987177,0.017383319561869073,1.0,0.0033404374122619628
UNet_C256_5e-4,120,cosine,0.20000000000000004,0.0012806601189367939,0.001469588511584637,5.575551,0.017297511033778034,1.0,0.00748520274957021
