Architektura,T,Schedule,Ratio,Mean_MSE,Median_MSE,Mean_L2,Mean_Wasserstein,Mean_Pearson,Mean_Inference_Time
Conv1D_C32_5e-4,100,cosine,0.35,0.0018037925374228506,0.0017328904708847404,7.470903,0.018480607033932873,0.0,0.004628150622049967
Conv1D_C128_1e-3,80,cosine,0.35,0.0015362309219005207,0.0017468467954313382,7.319188,0.018382500287970713,0.0,0.00218757692972819
UNet_C256_5e-4,80,cosine,0.35,0.0015799014646521148,0.0017559385404456408,7.3569593,0.018692294763605333,0.0,0.00500037431716919
Conv1D_C128_5e-4,80,cosine,0.35,0.001655227968702093,0.0018034126615384593,7.4883866,0.01904145071645682,0.0,0.0026710588137308757
UNet_C128_5e-4,80,cosine,0.35,0.0015905440244823696,0.0018503263390933474,7.337181,0.01873116046664237,0.0,0.003052623748779297
UNet_C64_1e-4,80,cosine,0.35,0.001723652288899757,0.001898124670260586,7.6842537,0.019221884185304662,0.0,0.002944767634073893
Conv1D_C32_5e-4,80,cosine,0.35,0.0021699458451864,0.002062640989703747,8.396431,0.02008909479499816,0.0,0.0033399937947591147
MLP_C256_1e-3,80,linear,0.35,0.007538583024715384,0.006949483714997768,16.480566,0.039733018885274,0.0,0.0002075535456339518
MLP_C256_5e-4,80,linear,0.35,0.009364351992495358,0.008323687150453528,18.36684,0.04484045801219702,0.0,0.00019096628824869793
MLP_C256_1e-3,100,linear,0.35,0.00996843464866591,0.009114205155832073,18.155998,0.04543444969187506,0.0,0.0011245346069335938
MLP_C256_5e-4,100,linear,0.35,0.012007764350312452,0.010847894155109922,20.798061,0.04962186263589937,0.0,0.001212324301401774
MLP_C256_1e-4,80,linear,0.35,0.013439186853667101,0.012461788694684704,21.898188,0.05262345340476595,0.0,0.00019410069783528647
MLP_C256_1e-3,120,linear,0.35,0.015513569839919606,0.014390930688629545,23.800877,0.0568936671633141,0.0,0.0014280068079630533
MLP_C256_1e-4,100,linear,0.35,0.01621011316900452,0.014825537940487264,24.216753,0.05731986384808563,0.0,0.0012135376930236816
MLP_C256_5e-4,120,linear,0.35,0.017342675706992546,0.016059638339405262,25.20352,0.05994623637253884,0.0,0.0014376524289449054
MLP_C256_1e-4,120,linear,0.35,0.020651628540207943,0.019923991700634358,27.560934,0.06436338920617901,0.0,0.0014187563260396323
MLP_C256_1e-3,80,cosine,0.35,0.020847347772059342,0.020123026004681983,27.794367,0.06256150424887294,0.0,0.00019562768936157225
MLP_C256_1e-3,100,cosine,0.35,0.022266121592683097,0.020513857904200752,27.137756,0.06647966246591742,0.0,0.0010821646054585774
MLP_C256_5e-4,100,cosine,0.35,0.029408715003480513,0.027417086275915305,32.55877,0.07577482607720572,0.0,0.0011673725446065268
MLP_C256_5e-4,80,cosine,0.35,0.029421341756358743,0.027609662053485712,32.7262,0.07634225112931688,0.0,0.00020120445887247723
MLP_C256_1e-3,120,cosine,0.35,0.03184555379394442,0.03089999531706174,33.100254,0.07955852015998362,0.0,0.001340423901875814
MLP_C32_1e-4,80,linear,0.35,0.031328294869512316,0.031305947608004016,34.80839,0.07727133771224234,0.0,0.00046394650141398116
MLP_C256_5e-4,120,cosine,0.35,0.036025541012485826,0.034367269085099295,36.573685,0.08537206875508958,0.0,0.001410841464996338
